Number,Gender,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,Country,CountryFull,EmailAddress,Username,Password,TelephoneNumber,MothersMaiden,Birthday,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
59,female,Ms.,Priscilla,J,Gray,4170 Spruce Drive,Pittsburgh,PA,15203,US,United States,PriscillaJGray@teleworm.us,Saking,ooS6xuj2B,724-918-6140,Maldonado,3/28/1937,Visa,4556419669575146,666,9/2018,192-20-3704,1Z 694 384 54 7547 050 1,Timekeeper,King Carol,1996 Rover 800,LittleArticles.com,O+,121.0,55.0,5' 2",157,ce1757db-39e3-43f7-a222-e68177201825,40.332513,-80.023497
60,male,Mr.,Jose,K,Smith,4619 Rhapsody Street,Mount Dora,FL,32757,US,United States,JoseKSmith@cuvox.de,Thenand40,thie9Jaed,352-383-8326,King,3/13/1940,MasterCard,5171396000310866,606,4/2017,265-77-8103,1Z 079 496 34 4170 966 2,Clock repairer,Waccamaw Pottery,1993 Beijing BJ 212,RelayShow.com,A+,193.2,87.8,5' 10",179,19a01f24-bbcc-4199-aa50-79583c500816,28.76394,-81.686009
61,male,Mr.,Randy,M,Gamino,4123 Walnut Hill Drive,Cincinnati,OH,45214,US,United States,RandyMGamino@armyspy.com,Terent,equ0Iphang,513-305-7103,Preece,10/27/1965,MasterCard,5426497933292479,782,10/2014,297-03-0447,1Z 520 057 37 0926 664 9,Training coordinator,Independent Wealth Management,2012 SsangYong Chairman H,ExpressWeek.com,A+,240.2,109.2,5' 7",170,297a2952-f9d7-4959-9138-0a6a8336a3ed,39.164164,-84.477899
62,female,Mrs.,Ann,R,Ludwig,3193 Washburn Street,Baton Rouge,LA,70806,US,United States,AnnRLudwig@gustr.com,Spole1961,keiThahb0o,225-289-2255,Richmond,3/4/1961,MasterCard,5592138694667958,512,8/2017,660-03-1889,1Z E33 815 71 0088 090 0,Asset property manager,Monlinks,2011 Peugeot 508,CosmeticSeller.com,O+,156.9,71.3,5' 1",155,082803c6-4773-40f7-9f0c-199cc269153b,30.379621,-91.211948
63,male,Mr.,Robert,G,Herrmann,1787 Cottonwood Lane,Grand Rapids,MI,49546,US,United States,RobertGHerrmann@teleworm.us,Balt1987,Nieng8daiCe,616-350-9990,Stetler,7/20/1987,Visa,4485881564471638,120,4/2016,372-14-1058,1Z 94F 019 67 0477 687 6,Extruding forming pressing and compacting machine operator,Lazysize,2003 Volkswagen Phaeton,VegetarianPizzas.com,B+,154.4,70.2,5' 9",174,ff391a95-9cf7-48c7-92ee-b3759832558b,42.913672,-85.460181
64,male,Mr.,Charles,C,Arthur,4975 Biddie Lane,Richmond,VA,23225,US,United States,CharlesCArthur@teleworm.us,Goicerouth,aiNg9ohgh,804-532-4723,Harmon,5/24/1939,Visa,4532376390497793,842,1/2018,228-22-7470,1Z 37E 565 37 9086 361 4,Dinkey operator,Chargepal,2006 BMW 330,DatingOpportunities.com,O+,194.3,88.3,5' 8",173,4c57f7cb-bcc5-4be2-9879-ea364c6b56e5,37.594592,-77.438929
65,male,Mr.,Thomas,M,Ybarra,2769 Dog Hill Lane,Topeka,KS,66607,US,United States,ThomasMYbarra@gustr.com,Phost1993,QueiKuoRa0,785-713-2136,Lewis,4/18/1993,Visa,4916110821395342,415,5/2016,509-80-8045,1Z 9A1 A35 27 3141 349 1,Team assembler,Titania,1999 Honda Passport,OpenWeddings.com,B+,123.2,56.0,6' 2",187,1b74a035-ed11-4ebc-a1c4-20105f4ac95b,39.112115,-95.646914
66,male,Mr.,Joseph,K,Keller,4390 Bell Street,New York,NY,10007,US,United States,JosephKKeller@einrot.com,Derestle,joi0eiLae,212-267-0961,McKenny,11/18/1990,MasterCard,5404858923746657,612,5/2015,092-72-7640,1Z 78V 79F 58 2839 225 9,Piano tuner,Maxiserve ,2005 Saturn Vue,PaintballPoints.com,O+,223.3,101.5,5' 9",175,db4ec3e0-1130-421d-a045-4c8b50500777,40.661547,-73.939644
67,female,Ms.,Rita,J,Leslie,776 Hickory Street,Ogden,UT,84414,US,United States,RitaJLeslie@teleworm.us,Inctureniou,Aex1ahqu,801-786-2298,Chavers,12/18/1939,MasterCard,5292222249851607,881,2/2018,528-01-1040,1Z 409 049 84 4446 978 7,Fork lift driver,Rolling Thunder,1997 Kia Clarus,MemorabiliaSpot.com,O+,118.1,53.7,5' 4",163,5979a3e7-d897-488f-9bbc-ce345eeb0ba2,41.33942,-111.964192
68,male,Mr.,Charles,K,Siple,3031 Callison Lane,Newark,DE,19711,US,United States,CharlesKSiple@gustr.com,Fife1985,Ohqu2uithie,302-454-2754,Miles,3/23/1985,MasterCard,5191780544582047,158,2/2016,222-56-6134,1Z 38W 587 49 1803 906 5,En route controller,Specialty Restaurant Group,2010 Ford Fiesta,SkinPromotion.com,O+,190.7,86.7,5' 9",176,d441598d-d1a7-4066-8214-c585dd40c71c,39.814668,-75.717319
69,female,Ms.,April,T,Lynch,4106 Oak Way,Lincoln,NE,68501,US,United States,AprilTLynch@armyspy.com,Lopeat,yahm2Eitee,402-475-9091,Wakefield,8/29/1944,MasterCard,5417500558140203,682,4/2016,506-07-6330,1Z 494 781 89 6904 280 9,Upholsterer,Olympic Sports,1995 Jeep Cherokee,BuyDecisions.com,AB+,143.0,65.0,5' 4",163,36491020-e23e-40ee-b489-56ee827cf57d,40.765721,-96.60034
70,female,Ms.,Karen,R,Galindo,4205 Duff Avenue,Wallingford,VT,05773,US,United States,KarenRGalindo@gustr.com,Upprow1947,Hee8ieVeap,802-446-9581,Anthony,7/17/1947,Visa,4539681909563610,634,7/2016,009-05-9794,1Z 187 329 86 5131 640 5,Recreation worker,Sounds Great Inc,1995 Subaru Legacy,SyncTag.com,O+,167.6,76.2,5' 0",153,1d43ec32-f151-43f6-984a-4ea77b450f62,43.418614,-72.898727
71,male,Mr.,Nick,K,Guzman,520 Ingram Street,Kettering,OH,45429,US,United States,NickKGuzman@superrito.com,Oulk1985,teeR2Eisae,937-510-8654,Cantu,3/1/1985,Visa,4556690990961490,953,3/2016,287-10-7687,1Z F36 00E 62 9722 205 3,Education and development manager,Maxaprofit,1999 Toyota Paseo,BirthDisorders.com,O+,166.5,75.7,5' 9",174,cacb4aa5-56e4-4bc3-8e00-c275157be6a1,39.762394,-84.228536
72,male,Mr.,Edwin,L,Herman,3500 Norma Lane,Shreveport,LA,71101,US,United States,EdwinLHerman@superrito.com,Morget,OoJ2zish9oo,318-613-8044,Cote,7/17/1985,Visa,4929381499315913,108,9/2014,665-09-2086,1Z 12V 391 38 3280 885 2,Agricultural worker,L.L. Berger,2007 Chevrolet Spark,ClickFail.com,B+,196.2,89.2,5' 10",178,7d6cc0a5-99fe-412e-88f1-71cfe47e86c2,32.572036,-93.734467
73,male,Mr.,Marty,L,Stubblefield,1390 Brown Street,San Ramon,CA,94583,US,United States,MartyLStubblefield@gustr.com,Theut1971,Aongei7lahjai,925-904-5007,Smith,2/3/1971,Visa,4929909664629237,548,7/2017,612-36-9747,1Z 803 68Y 40 6106 624 1,Rotary drill operator,Wellby,1995 Chrysler Cirrus,DropChaser.com,A+,187.4,85.2,6' 2",187,2b6bcae1-8ff3-45cf-8c16-84f7f71be999,37.868404,-121.928059
74,female,Ms.,Hazel,J,Shingleton,3918 Karen Lane,Georgetown,KY,40324,US,United States,HazelJShingleton@gustr.com,Smand1948,ool8ep3Boh,502-863-9264,Cantrell,7/27/1948,Visa,4539874596770784,346,9/2017,403-42-6441,1Z 542 132 65 3470 414 2,Counter attendant,Red Owl,2003 Toyota Camry,FullDrag.com,A+,197.3,89.7,5' 8",172,0e9c5ce0-d840-436e-8948-f86e5ab9a4d2,38.28133,-84.524158
75,male,Mr.,Kenneth,H,Germany,1810 Station Street,Austin,TX,78741,US,United States,KennethHGermany@cuvox.de,Havocapiente67,beeCh5ae,512-225-1224,Ludwig,6/22/1967,Visa,4539121333859490,802,11/2017,464-31-6862,1Z F63 681 91 9639 331 6,Perioperative nurse,Price Club,2012 Rolls-Royce Phantom,BoiseTaxis.com,A+,241.3,109.7,5' 9",174,8d822711-0f8c-4e09-8702-3512b0dcdcd4,30.183848,-97.693354
76,female,Ms.,Joann,N,Turpin,2405 Ash Street,Palmer,TX,75152,US,United States,JoannNTurpin@armyspy.com,Hathouty,ia6Air2Mae,972-845-9601,Coats,7/23/1978,Visa,4532532717146766,652,4/2014,463-45-5963,1Z 1E1 5W4 51 5905 830 1,Computer forensic investigator,A+ Electronics,1999 Nissan Sunny,CourseVideo.com,A+,145.2,66.0,5' 9",174,b88d0991-1486-4027-a33f-9d22f936afc1,32.38271,-96.66404
77,male,Mr.,Alfredo,D,Rudd,2954 Carson Street,Lexington,KY,40507,US,United States,AlfredoDRudd@cuvox.de,Uselp1970,foqu2lieLie,859-248-1098,Vargo,3/5/1970,Visa,4916281962088382,450,1/2014,404-31-2804,1Z 50F 871 32 3650 572 0,Data coder operator,Star Bright Investment Group,2002 Nissan Quest,SalesPond.com,A+,151.6,68.9,5' 10",177,f45300dc-7ed4-48a9-9b71-f3357de32796,37.952689,-84.540673
78,female,Mrs.,Rita,R,Belton,2481 Railroad Street,Wakefield,MI,49968,US,United States,RitaRBelton@armyspy.com,Hinet1983,kohB1ki0A,906-224-8803,Manning,11/27/1983,MasterCard,5342704858733911,802,2/2015,367-42-8089,1Z A50 260 41 7861 007 7,Ticket clerk,Prestiga-Biz,2004 Suzuki Samurai,SensualRed.com,B+,216.9,98.6,5' 4",163,e24a146c-e700-4273-a663-d8302b758c1a,46.416914,-89.801862
79,female,Mrs.,Alicia,C,Birkholz,2677 Stutler Lane,State College,PA,16803,US,United States,AliciaCBirkholz@einrot.com,Woustravight,yahY3uvee,814-433-6100,Collins,11/29/1966,MasterCard,5569674299981930,538,5/2017,187-34-4383,1Z 129 5A6 75 0682 692 7,Electronic drafter,Muscle Factory,1993 Austin Montego,PanicExpert.com,B+,203.7,92.6,5' 3",159,25a5e6bb-5f9d-4ba8-b843-0f4d00951e63,40.851461,-77.839428
80,male,Mr.,Leo,M,Flores,1954 Modoc Alley,Afton,ID,83110,US,United States,LeoMFlores@cuvox.de,Tusly1988,ka5wumaiBah,208-225-2392,Weedman,7/24/1988,Visa,4532223247852079,241,2/2016,519-82-2787,1Z 0Y0 Y44 44 8494 575 8,Business office manager,Dubrow's Cafeteria,2010 Bentley Continental Supersports,WikiBlast.com,O+,224.2,101.9,5' 6",168,394c30eb-85af-466f-9e13-40232a5669c8,42.760203,-110.821846
81,male,Mr.,Allan,D,Dickens,3383 Mapleview Drive,Camden,TN,38320,US,United States,AllanDDickens@einrot.com,Thatrated,Jie3iph3th,731-279-9632,Brown,3/8/1977,MasterCard,5154022129753163,284,2/2014,408-14-4137,1Z 859 W78 38 2200 533 7,Model,Gas Legion,2000 Toyota Echo,TennisAnalyst.com,B+,241.8,109.9,5' 7",169,5fbdee34-8498-42cf-a808-3441861f8c50,36.043331,-88.198712
82,male,Mr.,Timothy,O,Jaffe,27 Bloomfield Way,Portland,ME,04101,US,United States,TimothyOJaffe@cuvox.de,Oneve1966,teSu2uu9,207-653-1197,McIntyre,5/17/1966,Visa,4539462758659076,293,5/2015,006-22-5383,1Z 371 256 44 6849 744 5,Vascular sonographer,Dun Rite Lawn Care,1994 Mazda Millenia,MatrimonyClub.com,B+,208.3,94.7,5' 11",181,77541a04-e9d7-4962-b253-15dd6fa65497,43.635024,-70.332533
83,male,Mr.,Edward,L,Hall,1293 Deer Ridge Drive,Newark,NJ,07102,US,United States,EdwardLHall@superrito.com,Thak1932,choh3sooQu,973-549-8659,Smith,8/16/1932,MasterCard,5588019510597494,617,9/2016,147-70-2994,1Z 315 W85 25 4427 147 4,Hearing officer,Megatronic Plus,2006 Volvo XC90,LimitBuy.com,A+,203.1,92.3,5' 6",167,1577efb9-e071-44a4-b5c9-c3137b01956f,40.788493,-74.155095
84,male,Mr.,Gregorio,J,Gardner,3784 Brooklyn Street,Broadway,VA,22815,US,United States,GregorioJGardner@cuvox.de,Cown1993,ohX4Geegh,540-901-2988,Smith,1/12/1993,MasterCard,5286312706871905,907,5/2015,226-11-9833,1Z 548 E54 99 3277 268 5,Budget manager,Endicott Shoes,2007 Mazda MX-5 Miata,StraightShop.com,B+,221.1,100.5,5' 11",181,289e35b2-d6b2-4928-8d2a-e4b95f115fe9,38.71865,-78.891399
85,female,Ms.,Ladonna,R,Furr,369 New Creek Road,Huntsville,AL,35816,US,United States,LadonnaRFurr@dayrep.com,Petry1947,oozeich8Ah,256-841-2403,Brown,6/17/1947,Visa,4485827405732811,263,10/2016,417-53-4535,1Z W16 778 21 8738 781 0,Cost consultant,DGS HomeSource,2005 Citroen C,DiscDash.com,AB+,196.2,89.2,5' 7",169,a3acc4ec-79ce-4dc8-8539-2cbaa71d1391,34.733735,-86.57773
86,female,Mrs.,Ann,T,Walker,49 Metz Lane,San Diego,CA,92103,US,United States,AnnTWalker@teleworm.us,Guaraction,Nauri7Kahnga,858-205-4877,Walters,8/20/1932,MasterCard,5215562198353384,369,11/2018,570-03-2973,1Z Y11 615 59 6005 505 9,Hotel desk clerk,Richman Brothers,2000 Renault Grand Espace,WoodSock.com,O+,108.0,49.1,5' 1",156,6d0959c2-3bca-4f55-b02e-0adaf6fe8913,32.730666,-117.208943
87,male,Mr.,Paul,T,Corbin,4949 Mill Street,Greenville,SC,29601,US,United States,PaulTCorbin@teleworm.us,Htiquous1978,poosuDah9i,864-201-6834,Rivera,12/19/1978,Visa,4916394333470302,897,11/2017,249-69-8643,1Z 8W1 123 26 0326 433 5,Sewing machine operator,Honest Air Group,2007 Mercedes-Benz G,PreviewDomains.com,O+,230.8,104.9,6' 3",190,0619168b-31be-4e53-b627-dfd8dffdfe16,34.929353,-82.372244
88,male,Mr.,Clinton,R,Ahner,2557 Worley Avenue,Altavista,VA,24517,US,United States,ClintonRAhner@teleworm.us,Tince1955,ooJah6iel6g,434-309-3577,Kelley,10/26/1955,Visa,4929715538217491,734,5/2018,225-71-1779,1Z 225 063 22 5993 102 4,Administrative office specialist,McDade's,1996 Toyota Cresta,EgoNews.com,O+,200.6,91.2,5' 10",178,afc6517f-6b79-4d8f-9341-78a70a7f9094,37.228439,-79.254027
89,male,Mr.,Robert,M,Rothstein,2995 Valley View Drive,Quincy,MA,02169,US,United States,RobertMRothstein@einrot.com,Sonvermis,iaY9thohx4Ai,617-689-5924,Jeffries,2/10/1973,MasterCard,5451972560023296,235,7/2016,025-22-1387,1Z 013 869 48 4664 641 2,Social psychologist,Cloth World,1998 Pontiac Trans Sport,RotaryShow.com,O+,174.7,79.4,6' 1",186,9c3608e2-73cd-4395-a73f-cb89e6528b4d,42.175243,-71.030053
90,female,Ms.,Elvira,J,Gupton,4253 West Fork Drive,Boca Raton,FL,33487,US,United States,ElviraJGupton@gustr.com,Suromile,seeYu1lee,954-460-7755,Murphy,2/25/1957,Visa,4916551562331360,691,12/2018,262-84-6779,1Z 4E5 762 84 4484 273 6,Recreation worker,Golden's Distributors,2003 Toyota Allion,SoccerTowels.com,AB+,229.0,104.1,5' 7",169,adc462b4-6e66-41ab-81b8-5c62db3c59d2,26.357429,-80.175206
91,female,Mrs.,Christina,J,Thomas,388 Sycamore Lake Road,Horicon,WI,53032,US,United States,ChristinaJThomas@gustr.com,Shuman,coh6iCh4,920-485-9825,Dietz,11/14/1994,MasterCard,5140919129088200,881,5/2016,391-09-9693,1Z Y37 A21 72 6872 924 9,Coil winder,DGS VolMAX,2005 Maserati Coupe,BeverageMobile.com,B+,147.2,66.9,5' 6",167,e20ebea9-64f8-4226-89b6-8f99707f4de0,43.494413,-88.647797
92,male,Mr.,Richard,E,Ryan,2015 Archwood Avenue,Cheyenne,WY,82003,US,United States,RichardERyan@gustr.com,Easer1966,aceeM2eiMa7ch,307-840-3701,Wells,3/3/1966,MasterCard,5136559460477384,114,9/2016,520-23-0274,1Z 15Y 544 92 5605 799 5,Hairdresser,Jafco,2004 Ford Galaxy,MommyApproved.com,B+,246.4,112.0,5' 8",172,8e454a64-2751-455d-840a-dc416686ee76,41.194436,-104.886337
93,female,Ms.,Amy,A,Giles,3571 Bell Street,New York,NY,10007,US,United States,AmyAGiles@teleworm.us,Pultooper,Xu0oRa1Uung,212-236-8563,Lehto,10/9/1940,Visa,4532692853434325,170,4/2018,120-90-8225,1Z V71 300 43 9149 761 6,Cardiographic technician,Big Bear Stores,2009 Honda CR-V,GreenHealthInsurance.com,A-,197.6,89.8,5' 5",164,45f99377-1a2d-4918-8a3b-06bccba5ff5f,40.665099,-74.073211
94,male,Mr.,Jacob,E,Anderson,2488 Clifford Street,Concord,CA,94520,US,United States,JacobEAnderson@cuvox.de,Thalle,Omahhiew5,510-610-0505,Jackman,3/29/1941,MasterCard,5490495921572804,299,11/2017,602-72-0276,1Z 0F8 071 50 0053 068 6,Bartender helper,Earthworks Garden Kare,2009 Volkswagen Citi,ErrorElimination.com,B+,210.8,95.8,5' 5",165,68f13152-d500-4a67-b77a-9b406cf99fa4,37.933582,-122.118643
95,female,Mrs.,Myrtle,M,Reed,4304 Glen Street,Louisville,KY,40299,US,United States,MyrtleMReed@gustr.com,Liting1957,VoaTe8kohqu6,270-300-0013,Abdo,9/6/1957,MasterCard,5346482623487404,610,6/2017,407-64-4227,1Z 046 625 20 3796 955 2,Training assistant,David Weis,2011 Daihatsu Cuore,RipApart.com,A+,150.9,68.6,5' 5",165,9502eb2a-cd5c-46f3-a811-cc87944ac816,38.195987,-85.619982
96,female,Mrs.,Sharon,M,Herzig,2387 Oak Way,Pilger,NE,68768,US,United States,SharonMHerzig@armyspy.com,Shunnothe,Kei0xat3s,402-396-6208,Bickham,3/21/1993,Visa,4929302024291049,725,3/2015,505-62-9069,1Z A79 465 90 0409 012 7,Agricultural product grader,Mr. D's IGA,2011 Renault Koleos,MommyDigest.com,O+,109.8,49.9,5' 4",162,ba308cd5-e14f-49a1-a57a-27f4ead41546,41.920061,-97.076045
97,male,Mr.,Albert,E,Clark,4556 Yorkie Lane,Tybee Island,GA,31328,US,United States,AlbertEClark@einrot.com,Trignis,rae4aMai,912-786-0311,Hacker,12/6/1942,Visa,4916572261266988,184,10/2016,670-12-6992,1Z 278 278 54 4765 746 4,Vocational nurse,Acuserv,2005 BMW 740,OTCFunding.com,A+,211.4,96.1,5' 10",179,e1bb5db8-1fb1-4ea1-8b2d-cda0907f7e09,32.038809,-80.922248
98,female,Ms.,Natalie,E,Martin,906 Ryder Avenue,Everett,WA,98208,US,United States,NatalieEMartin@teleworm.us,Ainge1933,EeY0Aifi2p,425-349-5405,Davis,2/16/1933,Visa,4929672601467208,619,10/2016,539-02-8290,1Z 01Y 989 54 0184 535 5,Administrative lead,Sanitary Grocery Stores,1999 Chevrolet Impala,GasAdvisors.com,A-,214.5,97.5,5' 5",164,fa60dd1f-0e4d-4253-8071-9c5f9bdf1d1a,47.993074,-122.187335
99,female,Dr.,Sally,M,Sisco,1802 Point Street,Buffalo Grove,IL,60089,US,United States,SallyMSisco@cuvox.de,Thoughty,yeeth1Iex9,773-908-5915,Manley,7/15/1933,Visa,4916441513666173,929,4/2014,332-03-4421,1Z 718 07V 16 9664 027 2,Consultant dietitian,Body Toning,2009 Toyota iQ,FavoriteNewspaper.com,AB+,226.2,102.8,5' 4",163,3ca95d1d-df25-4a11-8a30-32f24975e80d,42.132177,-87.875392
100,female,Ms.,Becky,P,Slagle,2702 Petunia Way,Birmingham,AL,35206,US,United States,BeckyPSlagle@armyspy.com,Rines1944,eep3Oagaiwah,205-836-7404,Bechtold,12/21/1944,Visa,4532658093684458,308,8/2017,423-62-4387,1Z 654 E61 53 7129 913 2,Court municipal and license clerk,Yardbirds Home Center,1998 Subaru Vivio,RestaurantSuggest.com,O-,190.1,86.4,5' 0",152,94294748-0c67-4869-bff5-9f5a04d07b04,33.614722,-86.745007
